Comentário;Classificação
"Átila, se me permite dar dois complementos direi que, a teoria do Big Bang afirma que o universo surgiu e se expandiu não que que ele surgiu de uma explosão; e só podemos ver até a inflação cósmica, não o Big Bang, e nada nos garante que existe algo antes dele (como também não garante que não tenha).";Sugestao
QUE EPISÓDIO, SENHORES! Você consegue fazer um graduando e apaixonado por história amar física e biologia. Obrigado!;Elogio
Eles deveriam padronizar de vez o Sistema Internacional, tô cansado desse sistema inglês que só complica mais as conversões...;Sugestao
seria possível criar uma atmosfera na lua ou em marte usando arvores ou sei lá o que...?;Duvida
Caraca! Esse episódio está muito bem escrito. Arrepiei até o final;Elogio
Acho que você não entende o Axé. É uma metáfora sobre depressão.;Opiniao
Você é uma das mentes mais brilhantes que ja vi, me inspira.;Elogio
Não conhecia o canal, mas já amei!;Elogio
"Desde quando adolescentes de 17 anos são elite intelectual? Entenda- se essa elite por ""elite rica e branca"".";Critica e Opiniao
Se a minha opinião vale algo eu diria: tirem esse vídeo.;Odio e Critica
É assim q eu imagino os esquerdistas;Odio
Amo essas críticas em forma de alfinetada. Continuem !;Opiniao e Elogio
Esse é o grande problema dos partidos de esquerda: não consegue transmitir essa informação para população brasileira. Rita foi clara e didática. Grandes mudanças na sociedade brasileira virão quando o povo for conscientizado.;Critica e Opiniao
Tive minha consciência de classe a poucos meses e foi insuportável saber que eu não posso fazer uma série de coisas por simplesmente não ter dinheiro e saber que tem gente que tem dinheiro e não faz absolutamente nada com ele. Como disse Rita, ter consciência de classe pode doer.;Opiniao
Eu amo porque Sarcasmo é a melhor resposta pra ignorância e burrice, kkkkl mano adorei;Elogio
A maior verdade sobre a doutrinação nas universidades e escolas formam militantes de esquerda todos os anos;Odio
Como Herb ainda ficou gente. Dramático demais.;Critica
"Cara chato esse Herb 
Não vejo a hora dele sair";Odio
Vey essa Carol é uma falsa, se transformou quando pegou o avental, acha que todo mundo tem inveja dela, menina ridícula, não aguento mais esse herd, a cara dele me da nojo, fica com essa cara de mangoloide, pior temporada, programa tá muito armado, muita proteção, admirava tanto a beca mas tá ficando insuportável ver ela proteger o herd;Odio e Opiniao
Não aguento mais ver a cara desse herbinho,passou da hora dele sair.;Odio
Eu realmente acho que dessa vez a produção errou dando só duas horas na seg prova. Ninguém conseguiu firmar a torta, nem mesmo o Francisco que é extremamente organizado com o tempo e não fica de gracinha enquanto cozinha.;Critica e Opiniao
Eu acho legal que o Jeff com português é como eu com o inglês: Entende o que houve, mas não sabe falar.;Critica e Opiniao
Muito bom Vídeo. Realmente o número de brasileiros aqui em Vancouver tem crescido muito. O modo mais fácil ainda é vir estudar e se for em casal melhor ainda, que ai um estuda e outro pode trabalhar full-time (depende do curso). Vancouver esta sensacional no Verão. Quem quiser mais informação sobre como vir para cá, da uma passada no nosso canal tem bastante material sobre isso...bjus :);Elogio
"Muito legal o vídeo. Estamos percebendo um enorme aumento de brasileiros vindo (ou querendo vir) para Vancouver e para o Canadá em geral nos últimos anos. Muita gente não sabe muito sobre os diferentes processos de imigração e realmente pensam que é aquele ""oba oba"" como nos Estados Unidos. Vocês, assim como nós, devem receber milhares de perguntas sobre o assunto e achei legal vocês explicarem ao público de vocês como funciona. Continuem o ótimo trabalho. Abraços meus queridos! :-)";Elogio
Vocês precisam mudar de casa logo, vocês vão ter uma liberdade maior do que morar em um apartamento;Opiniao
Até o meu filho que mora no Brasil fala melhor que eu Dimitri!!! É gente boa mas de inglês precisa do Cambly ali! LoL. Parabéns para o filhão!;Critica
Show de video, até a propaganda das aulas de inglês ficaram bem engraçadas 30 centavosss quase de graça;Elogio
Nem sei se já comentei nesse vídeo, mas mesmo assim é muito bom ver os vídeos desses dois. Aprendi a gostar do Leon através do meu filho e hoje sou muito fan. Parabéns pelo excelente trabalho de vocês.;Opiniao e Elogio
É incrível com a direita no Brasil está se comportando com a esquerda, fazendo ginástica de pensamentos e narrativas para proteger seu político de estimação.;Odio
Mais otário é os fãs brasileiros, que gosta desse drake kk;Odio
Perder a humildade é o início do fim pra qualquer profissional de qualquer área...;Critica e Opiniao
Pontualíssima, cabelo maravilhoso, reflexões perfeitas, tem como não te amar, Jout?!;Elogio
"Gostei muito do tema, vejo muito esse tipo de situação ao meu redor, e vejo amigas minhas dando conselhos do tipo ""Ele gosta de vc mas é timido"", ""Ele tem medo de namorar"", e ja penso ""Talvez ele simplesmente ñ esteja afim"", acontece. As mulheres (ñ todas obviamente) tem a tendência a romantizar, a criar toda uma história, sendo q as vezes é o mais óbvio mesmo. Eu me considero mais prática nessas questões, acho que realmente quem gosta cuida, quer estar perto, gosta da sua companhia, se não faz questão nenhuma de sua presença, então desapega.";Critica e Opiniao
Tô no início do vídeo ainda mas já preciso comentar. Flor, vc tá muito feliz na sua fala, acabei de passar por isso. Acabei saindo fora pq não tava dando conta do sofrimento. E qdo a gnt se dá conta q não perdeu ngm pq na real nunca teve a pessoa, as coisas melhoram mais rápido.;Opiniao e Elogio
Sugiro mudar o título para ELE/ELA não está afim de vc. Dessa forma como está, parece que as mulheres tão sempre esperando relacionamento, e nem sempre é assim.;Sugestao
Esse vídeo é de utilidade pública;Opiniao
Perfeito! Só faltou mencionar a máfia da indústria farmacêutica... Estamos na merda mesmo..;Elogio e Critica
Muito importante esse vídeo, sou farmacêutica e vejo todos os dias como nossa noção de saúde é distorcida e como medicamentos são tratados como coisas simples... Parabéns pelo vídeo!;Opiniao e Elogio
Precisa ir pro Oriente não amiga, Cuba ta aqui no nosso continente e tratas saúde como PREVENÇÃO antes de qualquer coisa. Sinto falta do seu olhar para países socialistas que existem hoje.;Critica
Esse é um dos canais mais recentes que conheci, e já é o que eu mais fico esperando vídeos novos.;Elogio
A Rita se comunica de uma forma graciosamente natural. A espontaneidade , fluidez e simplicidade da fala, é um bom exemplo de como a esquerda pode sair da academia e vim trazer conhecimento nas bases. Precisamos de mais Ritas. Agradeço por você esta aqui nesta plataforma sendo um dos pontos de luz necessários para caminhantes perdidos neste mar de obscuridades que se tornou o Youtube.;Opiniao e Elogio
Maravilhosa! Adoro tempero drag. Excelente reflexão. Estou tratando uma depressão há 2 anos. Finalmente comecei o período do desmame do antidepressivo. Minha melhora começou exatamente quando deixei de trabalhar 12 horas por dia para ter jornadas de 7-8 horas e tive mais tempo para me dedicar aos meus estudos, a minha família e ao meu ócio. Por que será né? :);Elogio
Mulher, queria perguntar se teria como você/pessoal da produção, quando recomendar alguma literatura no vídeo poderia por muitíssimo favor, colocar nome e autor na descrição? Fica mais fácil de achar retrógradamente, porque nem sempre dá pra anotar na hora que o vídeo tá tocando!! Muito obrigada!!!;Sugestao e Opiniao
"É pq vc não conhece a realidade do alicerce do SUS brasileiro, mas a classe trabalhadora da saúde brasileira que tem mais índices de depressão e suicídio são os enfermeiros (as). 
Os menos remunerados e reconhecidos e que, porventura, estão sempre do lado dos usuários/pacientes. 
A primeira palavra que falam quando se encontram em situação de urgência é: enfermeira! 

A grande maioria não tem ideia da grande angústia dessa classe.";Critica
A religião é uma forma de escravizar mentes fracas.;Critica e Opiniao
pfvr não usa mais esse áudio da voz com eco pq não da pra entender nada :´c;Sugestao e Critica
Achei que seria um vídeo de comédia, e recebi um vídeo super informativo e gostoso de ver. Tenho 17 anos e tô me descobrindo, tô amando o meio drag kkkk obrigado pelo conteúdo.;Elogio
"1° - Não acredito que achei um canal com um estilo de vídeo e arte que gosto tanto, como o retro, com esses conteúdos; 

2° - O conteúdo do canal é muito bom, tirando que é difícil ver alguém se dar tanto assim a cara a tapa pra apresentar algo como foi apresentado nesse vídeo, simplesmente amei :3";Opiniao e Elogio
Raríssimo eu concordar com você. Mas, como não sou radical, dou meu braço a torcer. Excelente vídeo.;Opiniao e Elogio
MARAVILHOSA, cada vídeo seu meus olhos se abrem mais;Elogio
uma crítica, o audio deles falando da passagem biblica seria legal ter uma legenda pq nao da pra escutar certinho;Critica
"Você está muito equivocado ""tempero""";Odio
Mas, Rita... esse seu “temperadodinho” usou mal a palavra de Deus e infelizmente você também, em alguns temas.;Critica
Não canso de dar like e favoritar seus vídeos, continue assim que tá maravilhoso aaaaaaaa;Elogio
A mulher/homem mais desinformadx da história kkkk;Odio
Eu amo te ver falar sério. Você é um ser humano maravilhoso, cheio de cultura e conhecimento. Te adoro;Opiniao e Elogio
Ritinha, parabéns pelo vídeo. Eu to amando essa nova fase, e to matando a saudade docê, minha musa. Mas pra Platão a beleza não está associada aos olhos do observador. Isso é subjetivismo e há uma literatura enorme pra negar a subjetividade na grécia antiga. Para Platão o conceito de beleza estava na ideia do belo (que era o bom e o belo, isto é, uma beleza estética e ética ao mesmo tempo). As coisas belas PARTICIPAM da ideia do belo. Pra Platão, alguém que julga o que é belo a partir do auxilio do corpo (nesse caso, dos olhos), é alguém que está se entregando ao engano, pois o belo é reconhecido pela dialética (tudo isso bem grosso modo).;Opiniao
"""""""""""Tia""""""""""""""dos namoradinhos só que intelectual. kkkkkkkkkkkkkkk.";Odio
Se bem que vc tá padrãozerrima hein bicha. Mas valeu a reflexão que é cada vez mais pertinente;Critica e Opiniao
Suas unhas estão perfeitas assim como você!! Amei!! Faz francesinha mais vezes fica super lindo!!;Elogio e Sugestao
"Um pastor ""ex gay"", um gay que diz que não sofre homofobia, e um hetero que parece ser mais sensato dos 3.";Opiniao
Gay homofóbico é a coisa mais nojenta que existe.;Odio
Fico muito feliz que esse cara nunca tenha sofrido por ser gay, mas podia sair da bolha dele e pensar em quem sofre preconceito todo dia e se colocar no lugar deles. Só porque nunca aconteceu com ele não significa que o movimento seja inútil. Empatia;Critica e Opiniao
"Considero esse o melhor ""Mude Minha ideia"" , pela clara intenção dos participantes em ouvir. Houveram discordâncias mas ninguém estava armado e fechado ao diálogo. Parabéns .. e eu acho o Vítor bom .. só pra não esquecer de comentar. rs";Elogio
Fico chocado como TODOS não deixam o Victor falar enquanto ele ouve completamente;Critica
gente esse pastor é gay reprimido certeza kkkk;Odio
"Adorei o vídeo e tals, mas teve uma parte que preciso comentar sobre. Teve uma hora que a Mc Carol falou sobre o ""racismo reverso"", mas o ponto é, NÃO EXISTE RACISMO REVERSO! Ela comentou isso como se ""racismo reverso"" fosse o racismo contra brancos, mas mesmo que exista racismo contra brancos, não é racismo reverso, é só racismo de qualquer forma. Vou tentar explicar melhor, ela fala de racismo como se fosse uma coisa só do negro, porque falando ""racismo reverso"" direcionado aos brancos, ela está falando que o racismo não se encaixa aos brancos, e o preconceito com os brancos é o inverso de racismo, e não apenas racismo. Espero que tenham entendido meu ponto, pq fiquei bem agoniada com esse erro dela.";Critica
Me doeu muito pq meu pai é do msm jto do Sr. Negro. Talvez seja um tipo de blindagem psicológica , auto cuidado inconsciente... pra não sofrer mais já q dá mta raiva qndo descobrimos q todo ódio direcionado a nós é simplesmente pela herança africana q é linda mas fizeram feia pra lucrar com nosso sofrimento, com nossa baixa autoestima ! É desalentador;Critica e Opiniao
Não consigo ver pessoas tentando dizer que o Brasil não é racista, me dá uma vergonha alheia.;Critica e Opiniao
1:45 nao acho mt que o ponto das cotas seja esse, na minha concepçao, cotas são necessárias para fazer da universidade um lugar mais miscigenado como deveria ser ja que mais da metade da populaçao brasileira é negra.;Opiniao
"Edição um pouco tendenciosa.
Interessante o debate, pra aprender a não fazer mais. Debater com o politicamente correto é como explicar o que é música clássica pro Latino. Não há chance de haver entendimento.
(Esse comentário pode ser considerada Latinofobia pois mexeu com o Latino... e também música Clássico Fobia pois comparou música clássica a comédia sendo a música a arte mais nobre)
A Comédia é livre, a Tragédia também, o Drama também. Uma piada ofender é como uma música te ofender, uma peça de teatro, um quadro. Pode acontecer... Mas tá muito mais na sua cabeça. 
Piada é piada, opinião é opinião, ofensa é ofensa... São coisas diferentes. Uma piada mal contada vira uma ofensa assim como uma música mal tocada vira poluição sonora. Mas dizer que tem ""limites"" é algo que não cabe pra comédia. Aqui quanto mais livre melhor. Esse é o caminho pra Bosta. Tem limites pra comédia, limites pro futebol, drible é desrespeito, limites pra vida, limites pra roupa, limites pra beijar me público. Nem pra edição tem limites... Pode até escrever FADA SENSATA e não vou reclamar (apesar de achar meio zoado)... sejam mais leves, mais livres e menos paus no c... (sem homofobia)";Critica
"Totalmente parcial! Copiaram um quadro e pioraram. Esse negócio de ""fada sensata"" tira totalmente a imparcialidade do quadro, que tinha a intenção justamente de criar um debate imparcial sobre isso e deixar a conclusão às mãos do espectador. 
Erraram rude.";Critica e Opiniao
Que edição ridícula. Tendenciosa e muito chata. Boa rabin!;Odio
"9:55 ""Eu tenho um amigo que ele é negro..."" Só eu quem notou? O negro não quer ser negro. O racismo neste país é tão difícil de combater pois o racista não se acha racista.";Critica
"sse foi um dos melhores ""mude minha ideia"" , achei ambas as partes argumentando muito respeitosas, sem se prenderem a ideologias políticas. isso é muito importante. Quando conseguirmos compreender que a sociedade é de todos nós e não cabem mais os rótulos, poderemos chegar a um consenso sobre o que é melhor para todos.";Opiniao e Elogio
Detesto esse homem mas conversar com quem pensa diferente é um exercício de convivencia sem dúvida.;Odio
Eu discordo de 200% do que o cara falou, porém ele foi 100% respeitoso (mesmo usando termos de origem preconceituosa, de culpa estrutural, e não individual dele em si, mas dá sociedade) ele foi um fofo, adorei o fato dele saber ouvir, saber falar, e mesmo não entendendo muito ou fazer parte das minorias ele busca expressar de verdade seu pensamento sem machucar ou ofender o outro.;Opiniao
"Cotas são necessárias, porém devem ter prazo de validade. Outra coisa... politica de cota é ""empurrar pra baixo do tapete"" a incompetência do estado em oferecer ensino de boa qualidade aos cidadãos";Critica e Opiniao
"Esse cara só reproduz a sua opinião pessoal sem nenhum embasamento científico e claro, foi esmurrado de maneira muito gentil por pessoas maravilhosas que estudam e não apenas tiram teorias do ""coll""... Rsrsrsrsrs... Se ele não mudou de opinião, é pq segue sendo o babaca que sempre foi.";Critica
"Olá Marcelo. Muito interessante a proposta do bate-papo! 
Que tal abordar da questão do trabalho infantil? A pergunta inicial poderia ser: você acha que proibir trabalho infantil é certo?";Elogio e Sugestao
Pra mim as cotas raciais é uma âncora pra o governo nao precisar cuidar da educação pública básica ( q por sinal eh precária). Mude minha ideia;Opiniao
Essa historia de cagar regra e querer regular me cheira a regime totalitario (nao somente DITADURA MILITAR, como nosso povo gosta de se limitar a...) de ambos os espectros ideologicos. Confundir piada de stand-up com piada para denegrir eh erro basico.;Odio
"Esse cara de óculos com os argumentos mais lamentáveis possíveis. 
Se vai defender algo absurdo, pelo menos tenha argumentos condizentes.";Critica
Esse vídeo evidencia a necessidade de melhorias na educação a partir de um ensino crítico e libertador. É triste ver tanta alienação;Critica e Opiniao
Gente, impressionada com a paciência da moça de tranças aplausos, racismo institucional exposto e ela se manteve! Parabénssss;Elogio
Essa mana da trança é dona do meu respeito e admiração. Dominou a pauta elegantemente... Defendeu seu ponto de vista e ensinou muita gente que no fundo concordava com a moça do próprio programa a dar o crédito a dúvida do erro. Por muito mais mulheres assim!!!!;Opiniao
Dica do dia meninas, parem de usar amigo gay como passe livre pra ser escroto. Obrigada!;Critica e Opiniao
Caralho ela fudeu cm tudo de vez quando falou que hoje em dia tem até negros competentes mais até que alguns brancos. Socorro .;Odio
gostaria de comentar um fato curioso. aos 16:58 você vê ao lado direito da tela, um homem pardo/negro dormindo na calçada. Minutos antes ela diz acreditar que já existe igualdade. só queria constatar isso mesmo.;Opiniao
Poxa foram os 24 min mais difíceis de ver, a mina tem uns argumentos muito ruins mano;Critica e Opiniao
Eu não sei como as entrevistadas não deram um pau nessa menina velho kkkkk;Odio e Critica
Discordo completamente do pensamento sobre o aborto!!!!;Critica e Opiniao
"Que ranço da senhorinha, affz ! 
Na cara que apanhou voda todo de ex maridos e agr acha que isso é normal ....";Odio
"""Tem gente escondendo a 40 anos"" indireta detectada para os gays da globo";Odio
Acho que essa coisa de esconder é pior! Melhor se assumir e enfrentar a lingua das tias;Critica e Opiniao
Você não é pessoa pública, é famosa. Boa sorte, força na sua luta! Felicidades!!!;Elogio
eu acho q ela num deveria nem ter casado cm um homem se ela gostava de mulher tinha ficafo logo cm uma e ponto;Critica e Opiniao
"Ela não contava com o sucesso da educação que ela mesmo deu. Ao dizer ""ele cagou na minha cabeça"" ela deixa claro que mesmo tenho passado esses valores ao filho não sabia se ele teria absorvido, ou a que ponto ele teria absorvido tais valores. É mesmo difícil saber o quanto de nós os filhos, sobrinhos ou lunos absorvem, aceitam ou rejeitam.";Opiniao e Elogio
"Sou fã desse canal! Estudo 1° período de Eng. Civil e têm me ajudado MUITO. Vou ter que citar o ""me salva!"" na dedicatória do TCC. Rss, obrigado por dedicar o tempo de vocês realmente salvando outras pessoas, de uma forma muito particular e diferente de todos os outros, vocês estão mudando o mundo. Não parem!";Opiniao e Elogio
ensinou nada. cadê as fórmulas e resoluções de exercícios?;Critica e Opiniao
parabéns, muito bem explicado!;Elogio
Tenho uma dúvida, quando ele sobe a gravida faz com que ele suba mais de vagar, e quando ele está descendl ele acelera e a velocidade é maior?;Duvida
só eu que me assustei com a voz, quando começou video?;Critica e Opiniao
Mas como eu acho a Velocidade? Além de eu ter que descobrir os eixos (Y e X), tenho que descobrir a velocidade e o angulo. Estou totalmente confusa!;Duvida
Esse professor é muito bom!! Super objetivo!;Elogio
o lançamento que tem mais alcance é o de 45 graus é em relação aos três ângulos mostrados ou a qualquer ângulo?;Duvida
Gente vejo todo mundo falando que entendeu e eu fico tipo : que???;Critica e Opiniao
As aulas são excepcionais e a dicção não muda em nada a grande qualidade da aula e didática desse profissional. Parabéns meu irmão! Que Deus lhe abençoe pelos grandes serviços prestados.;Opiniao e Elogio
Só eu que acho a voz dele engraçada? Rsrs;Opiniao
Obrigado pela aula Anderson Silva, sou seu fã!;Elogio
NAO É A MSM COISA A VERTICAL TEM Vi DIFERENTE DE 0 E A HORIZONTAL TEM Vi IGUAL A 0;Critica
To confuso aqui, as fórmulas não são as mesmas :(;Duvida e Critica
A aula é ótima, mas eu sou lenta pra entender então vou ter que ver mais vezes. Obrigada!!;Opiniao
Você só subtraiu a distância entre Xb e Xa ?? mas e o cálculo dab= Xb-Xa??;Duvida
"Ótimo canal 

Tentei achar um video sobre distancia de um ponto ao plano, vocês tem essa explicação?";Elogio e Duvida
"""ain pq os professores do youtube são melhores do que os das escolas?"" 
PORQUE TU PASSA A AULA TODA CONVERSANDO ENQUANTO O COITADO DO PROFESSOR EXPLICA O CONTEÚDO, E ELE FAZ ISSO EM VÁRIAS SALAS DE AULA, TENTA IMAGINAR DAR AULA PARA UM BANDO DE JUMENTOS, QUE ALÉM DE ATRAPALHAR A AULA, FICA DESMERECENDO O TRABALHO DELES EM SALA DE AULA NAS VIDEO AULA DO YOUTUBE!";Odio
Já é a terceira vez esse mês que o seu canal e suas explicações deixam o conteúdo super claro para mim!! Muito obrigada e parabéns pelo seu trabalho!!;Elogio
"Sabrina, adorei o vídeo.
Se me permites, gostaria de dar uma sugestão: que tal um video “N de Neoliberalismo”? Acho que há pouca clareza sobre isso nas esquerdas, seria interessante contribuir para esse debate.";Elogio e Sugestao
muito obrigada sabrina por proporcionar formação política seria! gratidao, vamos transformar esse mundao;Elogio
Leiam 18 de Brumário, o livro é curtinho, pela leitura consegui traçar vários paralelos com a situação atual, como por ex. Como a burguesia culpa o debate político pelos fracassos da economia;Sugestao e Opiniao
Sabrina vc podia fazer um vídeo comparando o método do materialismo histórico dialético com os outros métodos aplicados nas ciências sociais, contraponto o positivismo e sua influência na sociologia moderna.;Sugestao
"Caramba esse vídeo ficou MUITO bom, cada vez mais vejo que as criticas ao materialismo histórico e ao marxismo que li e reli na faculdade (de história) são superficiais pra não dizer mentirosas. Meus professores/professoras apresentam quase como consenso que as bases do marxismo estão superadas, apesar das contribuições que deu, ou que temos que fazer um ""marxismo diferente"" que é tão diferente que é quase igual á sociologia positivista. Agora, com estudo e tua ajuda as coisas tão fazendo muito mais sentido, valeu.";Opiniao e Elogio
Um vídeo como esse deve ter dado muito trabalho. Obrigada pela dedicação!;Elogio
Teria o pós-colonialismo influência do materialismo histórico?;Duvida
Entender materialismo histórico não é nada fácil. Mas você torna o o assunto muito claro. Obrigado!;Opiniao e Elogio
"Dos 12:00 aos 13:25 minutos fiquei sem entender (!). Quando você diz que as ""relações de gênero, racial, sexual... passam pelo poder econômico"", essa defesa não seria contraditória a questão das cotas? Não estaria se alinhando que as cotas sociais seriam mais importantes que cotas raciais (ou de gênero?). Ou não entendi?";Duvida
Muuuuito bom!!! Vc acha q podemos aproximar o materialismo histórico, então, da fenomenologia? podia falar sobre isso um hora?;Duvida
Engraçado, um vídeo sobre uma expressão marxista que Marx nunca utilizou.;Critica e Opiniao
Poderia fazer um vídeo falando sobre teoria do valor por Marx,abordando o fetichismo da mercadoria e as relações sociais e relações de produção,?Não consigo entender isso,mas como vc passa o conteúdo de forma didática e claro acho que se vc fale eu entenderia.;Sugestao
A MINA É MARXISTA NO SEGUNDO MILÊNIO KKKKKKKKKKKKKKKKKKKKKKKK PERDI DMAIS;Odio
Voces professores são tudo HIPOCRITAS! DIZEM QUE O SOCIALISMO É O CORRETO E SE GABAM DE DIZER QUE DESEJARIAM MORAR NOS ESTADOS UNIDOS! O EUA SERIA O PAIS OPRESSOR OU NÃO SUA HIPOCRITA???;Odio
Debate raso.;Critica e Opiniao
O canal mais qualificado da esquerda brasileira.;Opiniao e Elogio
Caralho, sério mesmo que tem gente que ainda leva o marxismo clássico a sério?;Odio e Critica
Cria ou transforma seus videos em podcast;Sugestao
Pena que um vídeo tão trabalhoso não tem o alcance que deveria.;Opiniao
Sabrina, preciso compreender o materialismo histórico dialético e enxergá-lo na paisagem, nas transformações da paisagem ao longo do tempo. Alguma dica? Por favor preciso muito, me ajuda luciano!;Sugestao e Duvida
Não entendi nada.;Critica
Maior marxista do Brasil! Falo com tranquilidade;Opiniao e Elogio
Um vídeo como esse deve ter dado muito trabalho. Obrigada pela dedicação!;Elogio
"Como não ser radical quando o estado ""normal"" das coisas é absurdo?";Critica e Opiniao
Sempre aprendo muito com você, Sabrina! Obrigada!;Opiniao e Elogio
"É... eu acreditava num espantalho de esquerda... hora de eu rever conceitos. Esse vídeo foi ótimo, pq curiosamente a ideia de radical como ""ir à raiz"" me é muito familiar.";Opiniao e Elogio
Parabéns Sabrina! Não perco um vídeo seu...aprendo muito!;Elogio
Sabrina, seus vídeos são fantásticos. Sempre acompanho o canal com entusiasmo. Sobre a questão da radicalidade, o que você acha de grupos como o próprio PCB e a corrente Revolução Brasileira dentro do nosso PSOL com a insistência de construirmos a revolução?;Elogio e Duvida
Dúvida sobre instransigência: ela acontece também na direita. E aí o que acontece? Um coloca fogo no outro?;Duvida
"Muito bom! E tem aquelas pessoas, que trabalharam, economizaram, compraram umas casinhas e colocaram em aluguel, umas salinhas comerciais, também, pra melhorar sua renda na aposentadoria, e até acham estarem acima dos pobres mortais, que depende da mixaria do INSS. Pois estes, vão ver o país reduzir tanto, que seus alugueres reduzirão, entrarão em dívida a ser executada... porque quando a exploração é muita, todos perdem. 
Apenas em exemplo, dentro da sociedade, dos que dependem deste país, e somos muitos.";Opiniao e Elogio
Sabrina, o que é normal? O que é anormal? Pergunta sincera, buscando compreender. Vejo que as reflexões da esquerda absorveram essa questão do normal/patológico que são conceitos construídos para sustentar o sistema capitalista. É juízo de valor e, ao meu ver, precisa ser balançado de forma radical também.;Duvida
Alguém pode editar a legenda desse vídeo, para que fique acessível às pessoas surdas?;Sugestao
"Sabrina, como seria um governo de um presidente realmente dê esquerda??

Excelente sua análise sobre a previdência!";Elogio e Duvida
Muito bom ouvir isso! Muita lucidez e particularmente inspirada!;Opiniao e Elogio
"Sabrina, vc recomenda alguma leitura do Gramsci a respeito da ""intransigência""?";Duvida
sabrina, muito obrigada pela coerência e coragem sempre! eu tenho uma dúvida (e aí qualquer um pode me responder). como fazer a defesa das cotas em universidades públicas sendo radical, sendo que o nosso horizonte significa, por exemplo, abolir esse processo seletivo?;Elogio e Duvida
Sugestão adicional sobre a questão da previdência, vídeo do Le Monde: https://www.youtube.com/watch?v=sNB_OLZ4lJ4;Sugestao
vale ressaltar ainda o comportamento de gays misóginos que, mts vezes, acham que a sexualidade é um cartão verde pra praticar (um outro nível de) machismo;Critica e Opiniao
Sabrina, muito obrigado! Esse vídeo me ajudará muito a desconstruir o machismo, que ainda existe mim!;Opiniao e Elogio
"Eu fazer parte de um grupo que se beneficia de alguma forma por exemplo, homens tem privilégios, isso não me faz machista
Machismo vem do pressuposto de Sexismo(Que seria o termo correto), no qual, se eu acho que o gênero oposto é inferior ao meu, e eu acredito que tenho liberdade pra fazer o que quiser com eles. Eu sou sexista/machista
Agora se eu sou privilegiado de alguma forma à respeito disso, não está diretamente relacionado à eu ser machista, ja que eu posso nao concordar com isso";Critica e Opiniao
Genial, parabéns pelo vídeo. E obrigado por compartilhar o conhecimento.;Elogio
"Professora, tem como fazer uma versão ""toalha"" desse vídeo pra eu poder sair esfregando na cara dos brothers que não param pra falar sobre machismo? Do brother que solta piadinha sexista velha e sem graça ao maluco que faz pouco caso de opressão que ELE não sofre. Por aí. Ps. obg por ter trocado a música de fundo";Sugestao e Duvida
Acho que seria importante fazer um vídeo sobre homens queer, pois estamos em um lugar específico nessas questões que envolvem o patriarcado, machismo, sexismo que demanda um olhar interseccional de análise. Acredito que irá complementar e enriquecer o debate.;Sugestao e Opiniao
"Diga a um negro, trabalhador e de classe média que ""os negros são pobres e por isso se tornam criminosos"". QUE TIPO DE REAÇÃO VOCÊ ESPERA? Sério mesmo que você acha que ""a maioria"" dos homens abusam de mulheres bêbadas na balada? Reflita sobre o que você fala.";Odio e Critica
"Só gratidão a oferecer à este vídeo. Sim, reflexões foram feitas (algumas já ""estacionadas"" a um bom tempo), e posteriormente atitudes serão tomadas corrobando-se à elas. Grato pelo vídeo, parabéns pelo canal.";Opiniao e Elogio
Somos efeito do nosso inconsciente. Portanto, eu não acredito em homem desconstruído. Pra mim a desconstrução vai ser eterna. Eu mesmo, apesar de todas minhas leituras, tenho pensamentos machistas as vezes, ou até mesmo descaso (quando você disse que os homens pulavam seus vídeos sobre feminismo, eu me identifiquei, porque já fiz isso). O importante é sempre escutarmos como você bem falou, refletirmos e nos sensibilizarmos pra sermos pessoas melhores. Seu conteúdo é incrível, virei fã.;Opiniao e Elogio
Caralho, como eu fui babaca todos esses anos, e o pior, achando que estava ajudando em alguma coisa, mas percebi que a única coisa que ajudei foi a querer inflar ainda mais o meu ego. Que vergonha disso! Mas obrigado por fazer igual àquele cara do Bird Box e abrir os meus olhos!;Elogio e Critica
Mano que vídeo fodaaaaaa, cheguei no seu canal agora e já adorei, aprendendo bastante com vc.;Elogio
Obrigada, Sabrina, mais uma vez! Eu me enrolo toda vez que tendo explicar isso pra alguém. Agora, com a tua didática, ficou bem mais fácil :);Elogio
E as mulheres que quando exercem uma posição de poder, buscam atacar essa estrutura machista, tornando-se algo semelhante ao homem machista, contudo, em uma versão feminina?;Critica
Uberização da vida, como se fosse escolha ter uma vida miserável dessa;Critica e Opiniao
"Morte à Uberização do trabalho. Cria-se uma ideia de ""empreendedor""... Nada mais que uma falácia";Critica
Muito bom, estava faltando um vídeo sobre Sociologia do Trabalho.Parabéns, queremos mais!;Elogio e Sugestao
A superexploração da força de trabalho comendo solta!!;Critica e Opiniao
Uma sugestão, pelo fato de você ter estudado no Canadá (até onde me lembro ) poderia fazer um vídeo comparando as formas de trabalho entre os dois países. Em tempo, se no Brasil Uber e outros aplicativos a situação pra a população iria melhorar ou piorar? Eis a questão.;Sugestao
"O vídeo mostra toda uma problemática e nenhuma solução.
Qual seria a solução?";Duvida e Critica
